"","Genus","Species"
"Otu0685",NA,NA
"Otu0691",NA,NA
"Otu0694",NA,NA
"Otu0696",NA,NA
"Otu0701",NA,NA
"Otu0703",NA,NA
"Otu0704",NA,NA
"Otu0706","Euryhalocaulis","caribicus"
"Otu0707","Tropicibacter","phthalicicus"
"Otu0710",NA,NA
"Otu0711",NA,NA
"Otu0715",NA,NA
"Otu0716",NA,NA
"Otu0717",NA,NA
"Otu0718",NA,NA
"Otu0720",NA,NA
"Otu0724",NA,NA
"Otu0726",NA,NA
"Otu0727",NA,NA
"Otu0730",NA,NA
"Otu0731",NA,NA
"Otu0732",NA,NA
"Otu0734",NA,NA
"Otu0736",NA,NA
"Otu0737",NA,NA
"Otu0739",NA,NA
"Otu0740","Limnobacter","thiooxidans"
"Otu0744",NA,NA
"Otu0745",NA,NA
"Otu0746",NA,NA
"Otu0747",NA,NA
"Otu0748",NA,NA
"Otu0749",NA,NA
"Otu0752",NA,NA
"Otu0753",NA,NA
"Otu0756",NA,NA
"Otu0757","Flavobacterium","suaedae"
"Otu0759",NA,NA
"Otu0760",NA,NA
"Otu0761",NA,NA
"Otu0762",NA,NA
"Otu0766",NA,NA
"Otu0768",NA,NA
"Otu0770",NA,NA
"Otu0773",NA,NA
"Otu0780","Stenotrophomonas","maltophilia/rhizophila"
"Otu0781",NA,NA
"Otu0782",NA,NA
"Otu0783",NA,NA
"Otu0785",NA,NA
"Otu0787",NA,NA
"Otu0790",NA,NA
"Otu0791",NA,NA
"Otu0793",NA,NA
"Otu0794",NA,NA
"Otu0795",NA,NA
"Otu0796",NA,NA
"Otu0797",NA,NA
"Otu0803",NA,NA
"Otu0804",NA,NA
"Otu0805",NA,NA
"Otu0808",NA,NA
"Otu0809",NA,NA
"Otu0811",NA,NA
"Otu0815",NA,NA
"Otu0820",NA,NA
"Otu0827",NA,NA
"Otu0833",NA,NA
"Otu0835",NA,NA
"Otu0836",NA,NA
"Otu0839",NA,NA
"Otu0840",NA,NA
"Otu0842","Nonlabens","spongiae"
"Otu0843",NA,NA
"Otu0844",NA,NA
"Otu0846",NA,NA
"Otu0848","Halobacteriovorax","marinus"
"Otu0854",NA,NA
"Otu0855",NA,NA
"Otu0856",NA,NA
"Otu0857",NA,NA
"Otu0859",NA,NA
"Otu0860",NA,NA
"Otu0862",NA,NA
"Otu0865",NA,NA
"Otu0868",NA,NA
"Otu0869",NA,NA
"Otu0870",NA,NA
"Otu0872",NA,NA
"Otu0874","Aggregatibacter","segnis"
"Otu0875",NA,NA
"Otu0876",NA,NA
"Otu0877",NA,NA
"Otu0879",NA,NA
"Otu0880",NA,NA
"Otu0881",NA,NA
"Otu0882",NA,NA
"Otu0886",NA,NA
"Otu0887",NA,NA
"Otu0888",NA,NA
"Otu0891",NA,NA
"Otu0896",NA,NA
"Otu0901",NA,NA
"Otu0903",NA,NA
"Otu0904",NA,NA
"Otu0907",NA,NA
"Otu0908",NA,NA
"Otu0909",NA,NA
"Otu0910",NA,NA
"Otu0911","Marinobacterium","stanieri"
"Otu0914",NA,NA
"Otu0916",NA,NA
"Otu0917",NA,NA
"Otu0924",NA,NA
"Otu0927",NA,NA
"Otu0929",NA,NA
"Otu0931","Pseudonocardia","alni/ammonioxydans/antitumoralis/autotrophica/carboxydivorans/kongjuensis/nantongensis/nitrificans/tropica"
"Otu0932",NA,NA
"Otu0933",NA,NA
"Otu0935",NA,NA
"Otu0937",NA,NA
"Otu0944",NA,NA
"Otu0945",NA,NA
"Otu0949",NA,NA
"Otu0950","Dermacoccus","abyssi/barathri/profundi"
"Otu0951",NA,NA
"Otu0952",NA,NA
"Otu0953",NA,NA
"Otu0956",NA,NA
"Otu0959",NA,NA
"Otu0960",NA,NA
"Otu0963",NA,NA
"Otu0965",NA,NA
"Otu0968",NA,NA
"Otu0969",NA,NA
"Otu0972",NA,NA
"Otu0973",NA,NA
"Otu0976",NA,NA
"Otu0982",NA,NA
"Otu0983",NA,NA
"Otu0986",NA,NA
"Otu0988",NA,NA
"Otu0997",NA,NA
"Otu0999",NA,NA
"Otu1010","Exiguobacterium","acetylicum/aestuarii/alkaliphilum/aquaticum/arabatum/aurantiacum/chiriqhucha/himgiriensis/homiense/marinum/mexicanum/panipatensis/pavilionensis/profundum"
"Otu1011",NA,NA
"Otu1013","Ralstonia","detusculanense/insidiosa/mannitolilytica/pickettii/solanacearum/syzygii"
"Otu1015",NA,NA
"Otu1017",NA,NA
"Otu1020","Sphingobacterium","anhuiense/faecium/kitahiroshimense"
"Otu1021",NA,NA
"Otu1027",NA,NA
"Otu1028",NA,NA
"Otu1032",NA,NA
"Otu1034",NA,NA
"Otu1036",NA,NA
"Otu1038",NA,NA
"Otu1041",NA,NA
"Otu1042",NA,NA
"Otu1044",NA,NA
"Otu1048",NA,NA
"Otu1054",NA,NA
"Otu1055",NA,NA
"Otu1058",NA,NA
"Otu1060",NA,NA
"Otu1062",NA,NA
"Otu1066",NA,NA
"Otu1067",NA,NA
"Otu1071",NA,NA
"Otu1072",NA,NA
"Otu1073",NA,NA
"Otu1077","Ferrimonas","balearica"
"Otu1079",NA,NA
"Otu1084",NA,NA
"Otu1085",NA,NA
"Otu1091",NA,NA
"Otu1092",NA,NA
"Otu1094",NA,NA
"Otu1096",NA,NA
"Otu1097",NA,NA
"Otu1098",NA,NA
"Otu1100",NA,NA
"Otu1104",NA,NA
"Otu1110",NA,NA
"Otu1113",NA,NA
"Otu1114",NA,NA
"Otu1117",NA,NA
"Otu1120",NA,NA
"Otu1122",NA,NA
"Otu1124",NA,NA
"Otu1128",NA,NA
"Otu1129",NA,NA
"Otu1133",NA,NA
"Otu1135",NA,NA
"Otu1138",NA,NA
"Otu1140",NA,NA
"Otu1141",NA,NA
"Otu1142",NA,NA
"Otu1143",NA,NA
"Otu1146",NA,NA
"Otu1147",NA,NA
"Otu1152",NA,NA
"Otu1158",NA,NA
"Otu1159",NA,NA
"Otu1166","Leptotrichia","shahii/wadei"
"Otu1167",NA,NA
"Otu1168",NA,NA
"Otu1170",NA,NA
"Otu1173",NA,NA
"Otu1174",NA,NA
"Otu1177","Croceibacter","atlanticus"
"Otu1178",NA,NA
"Otu1180",NA,NA
"Otu1181",NA,NA
"Otu1186",NA,NA
"Otu1187",NA,NA
"Otu1188",NA,NA
"Otu1190",NA,NA
"Otu1197",NA,NA
"Otu1198",NA,NA
"Otu1202",NA,NA
"Otu1207",NA,NA
"Otu1208",NA,NA
"Otu1212",NA,NA
"Otu1214","Veillonella","parvula/rogosae/tobetsuensis"
"Otu1215",NA,NA
"Otu1218",NA,NA
"Otu1223",NA,NA
"Otu1227",NA,NA
"Otu1230",NA,NA
"Otu1239",NA,NA
"Otu1248",NA,NA
"Otu1249",NA,NA
"Otu1251",NA,NA
"Otu1253",NA,NA
"Otu1254",NA,NA
"Otu1256",NA,NA
"Otu1259",NA,NA
"Otu1260",NA,NA
"Otu1266",NA,NA
"Otu1267",NA,NA
"Otu1272",NA,NA
"Otu1281","Rhizobium","daejeonense/leguminosarum/naphthalenivorans/nepotum/rhizogenes"
"Otu1305",NA,NA
"Otu1306",NA,NA
"Otu1307",NA,NA
"Otu1310",NA,NA
"Otu1312",NA,NA
"Otu1315",NA,NA
"Otu1326",NA,NA
"Otu1327",NA,NA
"Otu1329",NA,NA
"Otu1330",NA,NA
"Otu1334",NA,NA
"Otu1341",NA,NA
"Otu1344",NA,NA
"Otu1345",NA,NA
"Otu1361",NA,NA
"Otu1366",NA,NA
"Otu1378",NA,NA
"Otu1379","Aquimarina","litoralis"
"Otu1401",NA,NA
"Otu1404",NA,NA
"Otu1405",NA,NA
"Otu1406",NA,NA
