"","sample_name","type","duplicates","species","genet.ID","Away.nursery","Home.nursery","frag.id"
"Acer208R.1","Acer208R","sample","","Acer","CoopersA","CRF","UM","CoopersA UM "
"Acer209","Acer209","sample","","Acer","1","CRF","NSU","1 NSU "
"Acer21","Acer21","sample","","Acer","FM21","FWC","FWC","FM21 FWC "
"Acer210","Acer210","sample","","Acer","Acer091","CRF","CRF","Acer091 CRF "
"Acer211","Acer211","sample","","Acer","Acer126","CRF","CRF","Acer126 CRF "
"Acer212R","Acer212R","sample","","Acer","ML10","CRF","Mote","ML10 Mote "
"Acer212R.1","Acer212R","sample","","Acer","Elkhorn","CRF","UM","Elkhorn UM "
"Acer212","Acer212","sample","dup","Acer","ML10","CRF","Mote","ML10 Mote "
"Acer212.1","Acer212","sample","dup","Acer","Elkhorn","CRF","UM","Elkhorn UM "
"Acer213","Acer213","sample","","Acer","Acerv3","CRF","UM","Acerv3 UM "
"Acer214","Acer214","sample","","Acer","Acerv2","CRF","UM","Acerv2 UM "
"Acer215R","Acer215R","sample","","Acer","StephsA","CRF","UM","StephsA UM "
"Acer215R.1","Acer215R","sample","","Acer","2a","CRF","NSU","2a NSU "
"Acer215","Acer215","sample","dup","Acer","StephsA","CRF","UM","StephsA UM "
"Acer215.1","Acer215","sample","dup","Acer","2a","CRF","NSU","2a NSU "
"Acer216","Acer216","sample","","Acer","Acer123","CRF","CRF","Acer123 CRF "
"Acer217R","Acer217R","sample","","Acer","ML38","CRF","Mote","ML38 Mote "
"Acer217R.1","Acer217R","sample","","Acer","Acer057","CRF","CRF","Acer057 CRF "
"Acer217","Acer217","sample","dup","Acer","ML38","CRF","Mote","ML38 Mote "
"Acer217.1","Acer217","sample","dup","Acer","Acer057","CRF","CRF","Acer057 CRF "
"Acer218","Acer218","sample","","Acer","4a","CRF","NSU","4a NSU "
"Acer219","Acer219","sample","","Acer","Acerv1","CRF","UM","Acerv1 UM "
"Acer22","Acer22","sample","","Acer","Acer002","FWC","CRF","Acer002 CRF "
"Acer220","Acer220","sample","","Acer","TDT2","CRF","FWC","TDT2 FWC "
"Acer221","Acer221","sample","","Acer","ML47","CRF","Mote","ML47 Mote "
"Acer222R","Acer222R","sample","","Acer","8","CRF","NSU","8 NSU "
"Acer222R.1","Acer222R","sample","","Acer","2a","CRF","NSU","2a NSU "
"Acer222","Acer222","sample","dup","Acer","8","CRF","NSU","8 NSU "
"Acer222.1","Acer222","sample","dup","Acer","2a","CRF","NSU","2a NSU "
"Acer223R","Acer223R","sample","","Acer","Acer117","CRF","CRF","Acer117 CRF "
"Acer223R.1","Acer223R","sample","","Acer","14","CRF","NSU","14 NSU "
"Acer223","Acer223","sample","dup","Acer","Acer117","CRF","CRF","Acer117 CRF "
"Acer223.1","Acer223","sample","dup","Acer","14","CRF","NSU","14 NSU "
"Acer224","Acer224","sample","","Acer","5","CRF","NSU","5 NSU "
"Acer225","Acer225","sample","dup","Acer","ML75","CRF","Mote","ML75 Mote "
"Acer225.1","Acer225","sample","dup","Acer","Acer001","CRF","CRF","Acer001 CRF "
"Acer225R","Acer225R","sample","","Acer","ML75","CRF","Mote","ML75 Mote "
"Acer225R.1","Acer225R","sample","","Acer","Acer001","CRF","CRF","Acer001 CRF "
"Acer226","Acer226","sample","","Acer","2","CRF","NSU","2 NSU "
"Acer227","Acer227","sample","","Acer","ML78","CRF","Mote","ML78 Mote "
"Acer228","Acer228","sample","","Acer","ML63","CRF","Mote","ML63 Mote "
"Acer229","Acer229","sample","","Acer","8a","CRF","NSU","8a NSU "
"Acer23","Acer23","sample","","Acer","FM9","FWC","FWC","FM9 FWC "
"Acer230","Acer230","sample","","Acer","Acer014","CRF","CRF","Acer014 CRF "
"Acer231","Acer231","sample","","Acer","Acer089","CRF","CRF","Acer089 CRF "
"Acer232","Acer232","sample","dup","Acer","Acer120","CRF","CRF","Acer120 CRF "
"Acer232.1","Acer232","sample","dup","Acer","YungsA","CRF","UM","YungsA UM "
"Acer232R","Acer232R","sample","","Acer","Acer120","CRF","CRF","Acer120 CRF "
"Acer232R.1","Acer232R","sample","","Acer","YungsA","CRF","UM","YungsA UM "
"Acer233","Acer233","sample","","Acer","ML76","CRF","Mote","ML76 Mote "
"Acer234R","Acer234R","sample","","Acer","5a","CRF","NSU","5a NSU "
"Acer234R.1","Acer234R","sample","","Acer","ML80","CRF","Mote","ML80 Mote "
"Acer234","Acer234","sample","dup","Acer","5a","CRF","NSU","5a NSU "
"Acer234.1","Acer234","sample","dup","Acer","ML80","CRF","Mote","ML80 Mote "
"Acer235","Acer235","sample","dup","Acer","TDT1","CRF","FWC","TDT1 FWC "
"Acer235.1","Acer235","sample","dup","Acer","8a","CRF","NSU","8a NSU "
